inspection_policy,case_id,d1_test_part1,d2_test_part2,df_test_final,dr_disassemble,feasible,infeasible_reason,state_count,success_probability,expected_cost,expected_profit,market_defect_rate,expected_exchange_count,expected_disassembly_count,expected_assembly_count,expected_purchase_cost,expected_part_test_cost,expected_assembly_cost,expected_final_test_cost,expected_exchange_loss_cost,expected_disassembly_cost,rank,strategy,profit_gap_to_best
retest_known_good,1,0,0,0,0,True,,2,1.0,40.639231824417,15.360768175582997,0.2709999999999999,0.37174211248285305,0.0,1.371742112482853,30.178326474622768,0.0,8.23045267489712,0.0,2.2304526748971183,0.0,3,"(0,0,0,0)",2.19478737997256
retest_known_good,2,1,1,0,1,True,,3,1.0000000000000002,45.25,10.75,0.2,0.25,0.25,1.2500000000000002,27.5,7.500000000000002,7.500000000000002,0.0,1.5,1.25,1,"(1,1,0,1)",0.0
retest_known_good,2,1,1,1,1,True,,3,1.0000000000000002,47.5,8.5,0.0,0.0,0.25,1.2500000000000002,27.5,7.500000000000002,7.500000000000002,3.750000000000001,0.0,1.25,2,"(1,1,1,1)",2.25
retest_known_good,2,1,1,0,0,True,,2,1.0000000000000002,51.1875,4.8125,0.2,0.25,0.0,1.2500000000000002,34.375,7.812500000000002,7.500000000000002,0.0,1.5000000000000002,0.0,3,"(1,1,0,0)",5.9375
retest_known_good,3,1,1,0,1,True,,3,1.0,41.111111111111114,14.888888888888886,0.09999999999999996,0.11111111111111108,0.11111111111111108,1.1111111111111112,24.444444444444443,6.111111111111112,6.666666666666666,0.0,3.333333333333332,0.5555555555555555,1,"(1,1,0,1)",0.0
retest_known_good,3,1,1,1,1,True,,3,1.0,41.111111111111114,14.888888888888886,0.0,0.0,0.11111111111111108,1.1111111111111112,24.444444444444443,6.111111111111112,6.666666666666666,3.333333333333333,0.0,0.5555555555555555,2,"(1,1,1,1)",0.0
retest_known_good,3,1,0,1,0,True,,2,1.0,41.56378600823045,14.436213991769549,0.0,0.0,0.0,1.2345679012345678,27.709190672153632,2.7434842249657065,7.4074074074074066,3.7037037037037033,0.0,0.0,3,"(1,0,1,0)",0.45267489711933706
retest_known_good,4,1,1,1,1,True,,3,1.0000000000000002,41.75,14.25,0.0,0.0,0.25,1.2500000000000002,27.5,3.0000000000000004,7.500000000000002,2.5000000000000004,0.0,1.25,1,"(1,1,1,1)",0.0
retest_known_good,4,1,1,0,1,True,,3,1.0000000000000002,46.75,9.25,0.2,0.25,0.25,1.2500000000000002,27.5,3.0000000000000004,7.500000000000002,0.0,7.5,1.25,2,"(1,1,0,1)",5.0
retest_known_good,4,1,1,1,0,True,,2,1.0000000000000002,47.50000000000001,8.499999999999993,0.0,0.0,0.0,1.2500000000000002,34.375,3.1250000000000004,7.500000000000002,2.5000000000000004,0.0,0.0,3,"(1,1,1,0)",5.750000000000007
retest_known_good,5,0,1,0,0,True,,2,1.0,44.01234567901234,11.987654320987659,0.18999999999999995,0.23456790123456783,0.0,1.2345679012345678,32.71604938271605,1.5432098765432098,7.4074074074074066,0.0,2.3456790123456783,0.0,1,"(0,1,0,0)",0.0
retest_known_good,5,0,1,1,0,True,,2,1.0,44.1358024691358,11.864197530864203,0.0,0.0,0.0,1.2345679012345678,32.71604938271605,1.5432098765432098,7.4074074074074066,2.4691358024691357,0.0,0.0,2,"(0,1,1,0)",0.12345679012345556
retest_known_good,5,0,0,1,0,True,,2,1.0,46.29629629629629,9.70370370370371,0.0,0.0,0.0,1.5432098765432098,33.95061728395062,0.0,9.25925925925926,3.0864197530864197,0.0,0.0,3,"(0,0,1,0)",2.283950617283949
retest_known_good,6,0,0,0,0,True,,2,1.0,34.3213296398892,21.6786703601108,0.1426250000000001,0.16635077999708428,0.0,1.1663507799970843,25.659717159935855,0.0,6.9981046799825055,0.0,1.6635077999708427,0.0,1,"(0,0,0,0)",0.0
retest_known_good,6,1,0,0,0,True,,2,1.0,34.671234873888324,21.328765126111676,0.09750000000000003,0.10803324099722995,0.0,1.10803324099723,24.610001457938473,2.332701559994168,6.64819944598338,0.0,1.0803324099722995,0.0,2,"(1,0,0,0)",0.34990523399912377
retest_known_good,6,0,0,1,0,True,,2,1.0,36.156874179909614,19.843125820090386,0.0,0.0,0.0,1.1663507799970843,25.659717159935855,0.0,6.9981046799825055,3.4990523399912528,0.0,0.0,3,"(0,0,1,0)",1.8355445400204147
